ATC,DB,Farmaco
B06AC01,DB06404,INHIBIDOR ESTERASA C1 HUMANO
J06BB01,DB11597,INMUNOGLOBULINA ANTI-D
L04AA04,DB00098,INMUNOGLOBULINA ANTILINFOCITOS T HUMANOS
J06BA01,DB00028,INMUNOGLOBULINA G NO MODIFICADA
J06BA02,DB00028,INMUNOGLOBULINA HUMANA
N07XX11,DB14713,INOTERSEN
L01FX15,DB05889,INOTUZUMAB OZOGAMICINA
A10AB05,DB01306,INSULINA ASPARTA
A10AD05,DB01306,INSULINA ASPARTA PROTAMINA
A10AE06,DB09564,INSULINA DEGLUDEC
A10AE05,DB01307,INSULINA DETEMIR
A10AE04,DB00047,INSULINA GLARGINA
A10AB06,DB01309,INSULINA GLULISINA
A10AB01,DB00030,INSULINA HUMANA
A10AB04,DB00046,INSULINA LISPRO
A10AD04,DB00030,INSULINA LISPRO/PROTAMINA
L03AB,DB00060,INTERFERON BETA
L01FF04,DB06186,IPILIMUMAB
R03BB01,DB00332,IPRATROPIO
R03AK03,DB00332,IPRATROPIO/FENOTEROL
R03AK04,DB00332,IPRATROPIO/SALBUTAMOL
C09CA04,DB01029,IRBESARTAN
C09DB05,DB01029,IRBESARTAN/AMLODIPINO
C09DA04,DB01029,IRBESARTAN/HIDROCLOROTIAZIDA
L01XX19,DB00762,IRINOTECAN
L01FC02,DB14811,ISATUXIMAB
D01AC05,DB08943,ISOCONAZOL
N01AB06,DB00753,ISOFLURANO
J04AC01,DB00951,ISONIAZIDA
J04AM02,DB01045,ISONIAZIDA/RIFAMPICINA
J04AM06,DB01045,ISONIAZIDA/RIFAMPICINA/PIRAZINAMIDA/ETAMBUTOL
C01DA08,DB00883,ISOSORBIDA DINITRATO
C01DA14,DB01020,ISOSORBIDA MONONITRATO
D10BA01,DB00982,ISOTRETINOINA
J02AC02,DB01167,ITRACONAZOL
C01EB17,DB09083,IVABRADINA
P02CF01,DB00602,IVERMECTINA
L01XX50,DB09570,IXAZOMIB
L04AC13,DB11569,IXEKIZUMAB
N01AX03,DB01221,KETAMINA
J02AB02,DB01026,KETOCONAZOL
M01AE03,DB01009,KETOPROFENO
M01AB15,DB00465,KETOROLACO
S01GX08,DB00920,KETOTIFENO
C07AG01,DB00598,LABETALOL
N03AX18,DB06218,LACOSAMIDA
A06AD11,DB00581,LACTULOSA
J05AF05,DB00709,LAMIVUDINA
J05AR01,DB00709,LAMIVUDINA/ZIDOVUDINA
N03AX09,DB00555,LAMOTRIGINA
B06AC05,DB14597,LANADELUMAB
H01CB03,DB06791,LANREOTIDA
L01EH01,DB01259,LAPATINIB
A16AB05,DB00090,LARONIDASA
L01XX02,DB08886,L-ASPARAGINASA
S01EE01,DB00654,LATANOPROST
L04AA13,DB01097,LEFLUNOMIDA
L04AX04,DB00480,LENALIDOMIDA
L01EX08,DB09078,LENVATINIB
L02BG04,DB01006,LETROZOL
L02AE02,DB00007,LEUPRORELINA
N03AX14,DB01202,LEVETIRACETAM
A16AA01,DB00583,LEVOCARNITINA
R06AE09,DB06282,LEVOCETIRIZINA
N04BA02,DB01235,LEVODOPA/CARBIDOPA
J01MA12,DB01137,LEVOFLOXACINO
N05AA02,DB01403,LEVOMEPROMAZINA
G03AC03,DB00367,LEVONORGESTREL
G03AA07,DB00367,LEVONORGESTREL/ETINILESTRADIOL
C01CX08,DB00922,LEVOSIMENDAN
H03AA01,DB00451,LEVOTIROXINA
N01BB02,DB00281,LIDOCAINA
N01BB52,DB00281,LIDOCAINA/EPINEFRINA
C05AA01,DB00281,LIDOCAINA/HIDROCORTISONA
A10BH05,DB08882,LINAGLIPTINA
G03DC03,DB12474,LINESTRENOL
J01XX08,DB00601,LINEZOLID
L03AA14,DB13200,LIPEGFILGRASTIM
